,species0,species1,species2
0,0.783434,0.554017,0.847069
0.1001,0.643508,0.438119,0.720063
0.2002,0.559846,0.370058,0.646192
0.3003,0.504649,0.325609,0.599619
0.4004,0.465766,0.294474,0.568946
0.500501,0.437036,0.271544,0.548348
0.600601,0.415001,0.254004,0.534527
0.700701,0.397569,0.240181,0.525471
0.800801,0.383401,0.229017,0.519877
0.900901,0.371601,0.219816,0.516865
1.001,0.361549,0.2121,0.515816
1.1011,0.352803,0.205533,0.516281
1.2012,0.345041,0.199871,0.517926
1.3013,0.338026,0.194936,0.520497
1.4014,0.33158,0.190593,0.523798
1.5015,0.325567,0.186741,0.527675
1.6016,0.319884,0.1833,0.532005
1.7017,0.314452,0.180211,0.536687
1.8018,0.309211,0.177424,0.541643
1.9019,0.304115,0.174903,0.546805
2.002,0.299129,0.172617,0.552118
2.1021,0.294226,0.170541,0.557537
2.2022,0.289387,0.168656,0.563025
2.3023,0.284596,0.166947,0.568547
2.4024,0.279844,0.165399,0.574079
2.5025,0.275124,0.164001,0.579595
2.6026,0.270431,0.162745,0.585077
2.7027,0.265763,0.161623,0.590507
2.8028,0.261119,0.160629,0.595871
2.9029,0.2565,0.159756,0.601157
3.003,0.251906,0.159001,0.606353
3.1031,0.247339,0.158358,0.611451
3.2032,0.242802,0.157825,0.616442
3.3033,0.238298,0.157398,0.621319
3.4034,0.233829,0.157074,0.626076
3.5035,0.229398,0.156851,0.630708
3.6036,0.225008,0.156727,0.635211
3.7037,0.220662,0.156699,0.63958
3.8038,0.216364,0.156767,0.643811
3.9039,0.212115,0.156927,0.647903
4.004,0.207918,0.15718,0.651852
4.1041,0.203777,0.157522,0.655656
4.2042,0.199692,0.157954,0.659314
4.3043,0.195667,0.158474,0.662823
4.4044,0.191703,0.159081,0.666184
4.5045,0.187801,0.159774,0.669394
4.6046,0.183964,0.160553,0.672454
4.7047,0.180193,0.161416,0.675361
4.8048,0.176489,0.162363,0.678118
4.9049,0.172852,0.163393,0.680722
5.00501,0.169285,0.164505,0.683174
5.10511,0.165787,0.1657,0.685474
5.20521,0.162358,0.166976,0.687622
5.30531,0.159001,0.168333,0.689618
5.40541,0.155713,0.169771,0.691464
5.50551,0.152497,0.171289,0.693159
5.60561,0.149352,0.172887,0.694705
5.70571,0.146277,0.174565,0.696101
5.80581,0.143272,0.176322,0.697348
5.90591,0.140338,0.178158,0.698448
6.00601,0.137474,0.180072,0.699402
6.10611,0.134679,0.182065,0.700209
6.20621,0.131953,0.184136,0.700872
6.30631,0.129295,0.186285,0.701391
6.40641,0.126705,0.188511,0.701768
6.50651,0.124182,0.190815,0.702003
6.60661,0.121725,0.193195,0.702098
6.70671,0.119333,0.195652,0.702054
6.80681,0.117006,0.198186,0.701872
6.90691,0.114743,0.200795,0.701554
7.00701,0.112542,0.20348,0.701101
7.10711,0.110403,0.206239,0.700514
7.20721,0.108325,0.209074,0.699794
7.30731,0.106307,0.211982,0.698944
7.40741,0.104348,0.214964,0.697965
7.50751,0.102447,0.218019,0.696857
7.60761,0.100603,0.221147,0.695624
7.70771,0.0988149,0.224346,0.694266
7.80781,0.0970821,0.227616,0.692784
7.90791,0.0954035,0.230956,0.691182
8.00801,0.0937779,0.234365,0.68946
8.10811,0.0922045,0.237843,0.68762
8.20821,0.0906824,0.241389,0.685663
8.30831,0.0892105,0.245001,0.683593
8.40841,0.0877879,0.248678,0.68141
8.50851,0.0864138,0.25242,0.679117
8.60861,0.0850872,0.256224,0.676715
8.70871,0.0838071,0.26009,0.674207
8.80881,0.0825729,0.264017,0.671595
8.90891,0.0813835,0.268002,0.66888
9.00901,0.0802381,0.272045,0.666065
9.10911,0.079136,0.276144,0.663152
9.20921,0.0780763,0.280296,0.660143
9.30931,0.0770582,0.284501,0.657041
9.40941,0.076081,0.288757,0.653847
9.50951,0.075144,0.293062,0.650565
9.60961,0.0742465,0.297413,0.647197
9.70971,0.0733877,0.301809,0.643745
9.80981,0.072567,0.306247,0.640211
9.90991,0.0717838,0.310727,0.636599
10.01,0.0710374,0.315244,0.63291
10.1101,0.0703273,0.319798,0.629148
10.2102,0.0696528,0.324385,0.625315
10.3103,0.0690135,0.329004,0.621413
10.4104,0.0684089,0.333651,0.617446
10.5105,0.0678383,0.338325,0.613417
10.6106,0.0673014,0.343022,0.609327
10.7107,0.0667977,0.347741,0.60518
10.8108,0.0663268,0.352478,0.600979
10.9109,0.0658884,0.357231,0.596727
11.011,0.0654819,0.361997,0.592426
11.1111,0.0651072,0.366773,0.588079
11.2112,0.0647638,0.371557,0.58369
11.3113,0.0644515,0.376345,0.579261
11.4114,0.06417,0.381135,0.574795
11.5115,0.0639191,0.385924,0.570295
11.6116,0.0636985,0.390708,0.565764
11.7117,0.0635081,0.395486,0.561205
11.8118,0.0633477,0.400254,0.55662
11.9119,0.0632171,0.405009,0.552014
12.012,0.0631163,0.409749,0.547388
12.1121,0.0630451,0.414469,0.542745
12.2122,0.0630035,0.419168,0.538089
12.3123,0.0629914,0.423843,0.533422
12.4124,0.0630089,0.42849,0.528747
12.5125,0.0630558,0.433106,0.524067
12.6126,0.0631323,0.43769,0.519385
12.7127,0.0632384,0.442237,0.514702
12.8128,0.0633742,0.446745,0.510023
12.9129,0.0635398,0.451211,0.505349
13.013,0.0637354,0.455633,0.500684
13.1131,0.063961,0.460007,0.496029
13.2132,0.0642169,0.464331,0.491388
13.3133,0.0645033,0.468601,0.486762
13.4134,0.0648203,0.472817,0.482155
13.5135,0.0651683,0.476974,0.477568
13.6136,0.0655476,0.48107,0.473005
13.7137,0.0659584,0.485102,0.468466
13.8138,0.066401,0.489069,0.463955
13.9139,0.0668759,0.492967,0.459473
14.014,0.0673833,0.496794,0.455024
14.1141,0.0679237,0.500547,0.450608
14.2142,0.0684975,0.504225,0.446228
14.3143,0.0691052,0.507824,0.441885
14.4144,0.0697471,0.511343,0.437582
14.5145,0.0704239,0.514779,0.433321
14.6146,0.0711359,0.518129,0.429103
14.7147,0.0718838,0.521393,0.42493
14.8148,0.0726681,0.524566,0.420804
14.9149,0.0734893,0.527648,0.416726
15.015,0.074348,0.530637,0.412698
15.1151,0.0752449,0.533529,0.408722
15.2152,0.0761805,0.536324,0.404798
15.3153,0.0771556,0.539019,0.400929
15.4154,0.0781708,0.541612,0.397116
15.5155,0.0792267,0.544101,0.39336
15.6156,0.080324,0.546485,0.389662
15.7157,0.0814635,0.548761,0.386024
15.8158,0.0826459,0.550928,0.382446
15.9159,0.0838718,0.552984,0.378931
16.016,0.085142,0.554927,0.375479
16.1161,0.0864573,0.556756,0.372091
16.2162,0.0878183,0.558468,0.368769
16.3163,0.0892259,0.560062,0.365513
16.4164,0.0906808,0.561537,0.362324
16.5165,0.0921837,0.562891,0.359203
16.6166,0.0937353,0.564122,0.356152
16.7167,0.0953365,0.565229,0.353171
16.8168,0.0969878,0.56621,0.350262
16.9169,0.0986901,0.567064,0.347424
17.017,0.100444,0.56779,0.344659
17.1171,0.10225,0.568386,0.341968
17.2172,0.104109,0.568851,0.339351
17.3173,0.106022,0.569184,0.33681
17.4174,0.107988,0.569383,0.334344
17.5175,0.11001,0.569448,0.331956
17.6176,0.112086,0.569377,0.329645
17.7177,0.114218,0.569169,0.327413
17.8178,0.116407,0.568823,0.32526
17.9179,0.118651,0.568339,0.323187
18.018,0.120953,0.567716,0.321195
18.1181,0.123311,0.566952,0.319284
18.2182,0.125726,0.566048,0.317456
18.3183,0.128199,0.565002,0.315711
18.4184,0.130728,0.563815,0.314049
18.5185,0.133315,0.562486,0.312472
18.6186,0.135958,0.561014,0.310981
18.7187,0.138658,0.5594,0.309575
18.8188,0.141414,0.557644,0.308257
18.9189,0.144225,0.555745,0.307026
19.019,0.147092,0.553705,0.305884
19.1191,0.150012,0.551522,0.304831
19.2192,0.152985,0.549199,0.303869
19.3193,0.15601,0.546735,0.302997
19.4194,0.159086,0.544132,0.302218
19.5195,0.162211,0.54139,0.301531
19.6196,0.165384,0.538511,0.300937
19.7197,0.168603,0.535496,0.300438
19.8198,0.171866,0.532347,0.300034
19.9199,0.175171,0.529065,0.299727
20.02,0.178515,0.525653,0.299517
20.1201,0.181897,0.522112,0.299404
20.2202,0.185312,0.518445,0.29939
20.3203,0.18876,0.514655,0.299476
20.4204,0.192235,0.510744,0.299663
20.5205,0.195736,0.506716,0.299951
20.6206,0.199258,0.502573,0.300341
20.7207,0.202798,0.498319,0.300835
20.8208,0.206352,0.493958,0.301433
20.9209,0.209915,0.489493,0.302135
21.021,0.213484,0.484929,0.302943
21.1211,0.217054,0.48027,0.303857
21.2212,0.22062,0.47552,0.304878
21.3213,0.224178,0.470684,0.306008
21.4214,0.227722,0.465767,0.307245
21.5215,0.231247,0.460775,0.308592
21.6216,0.234748,0.455711,0.310048
21.7217,0.238219,0.450582,0.311615
21.8218,0.241655,0.445393,0.313291
21.9219,0.24505,0.44015,0.315079
22.022,0.248399,0.434858,0.316978
22.1221,0.251695,0.429524,0.318988
22.2222,0.254932,0.424153,0.32111
22.3223,0.258106,0.418752,0.323343
22.4224,0.261209,0.413326,0.325687
22.5225,0.264237,0.407882,0.328143
22.6226,0.267182,0.402427,0.330709
22.7227,0.270041,0.396965,0.333385
22.8228,0.272805,0.391504,0.336172
22.9229,0.275471,0.386049,0.339067
23.023,0.278033,0.380607,0.34207
23.1231,0.280486,0.375183,0.34518
23.2232,0.282824,0.369784,0.348397
23.3233,0.285042,0.364416,0.351717
23.4234,0.287137,0.359083,0.355141
23.5235,0.289104,0.353792,0.358666
23.6236,0.290938,0.348548,0.362291
23.7237,0.292635,0.343357,0.366013
23.8238,0.294194,0.338222,0.36983
23.9239,0.295609,0.33315,0.37374
24.024,0.296879,0.328145,0.377741
24.1241,0.298001,0.323211,0.381829
24.2242,0.298974,0.318353,0.386001
24.3243,0.299794,0.313574,0.390255
24.4244,0.300461,0.308879,0.394588
24.5245,0.300975,0.30427,0.398995
24.6246,0.301334,0.299751,0.403473
24.7247,0.301539,0.295326,0.408019
24.8248,0.301589,0.290996,0.412628
24.9249,0.301486,0.286765,0.417297
25.025,0.30123,0.282634,0.422021
25.1251,0.300823,0.278606,0.426795
25.2252,0.300267,0.274683,0.431616
25.3253,0.299563,0.270867,0.436479
25.4254,0.298715,0.267158,0.44138
25.5255,0.297725,0.263557,0.446312
25.6256,0.296595,0.260067,0.451272
25.7257,0.295331,0.256687,0.456255
25.8258,0.293934,0.253419,0.461256
25.9259,0.292409,0.250262,0.466269
26.026,0.290761,0.247217,0.47129
26.1261,0.288993,0.244284,0.476314
26.2262,0.287109,0.241463,0.481335
26.3263,0.285116,0.238754,0.486349
26.4264,0.283017,0.236157,0.491351
26.5265,0.280817,0.23367,0.496335
26.6266,0.278522,0.231295,0.501297
26.7267,0.276137,0.229029,0.506231
26.8268,0.273666,0.226873,0.511134
26.9269,0.271116,0.224825,0.516
27.027,0.268491,0.222885,0.520825
27.1271,0.265796,0.221051,0.525604
27.2272,0.263038,0.219324,0.530332
27.3273,0.26022,0.217701,0.535006
27.4274,0.257349,0.216182,0.539621
27.5275,0.254428,0.214766,0.544173
27.6276,0.251465,0.213452,0.548659
27.7277,0.248462,0.212238,0.553073
27.8278,0.245426,0.211124,0.557414
27.9279,0.24236,0.210108,0.561677
28.028,0.23927,0.209189,0.565858
28.1281,0.23616,0.208367,0.569955
28.2282,0.233034,0.207639,0.573965
28.3283,0.229897,0.207006,0.577885
28.4284,0.226752,0.206466,0.581711
28.5285,0.223604,0.206017,0.585442
28.6286,0.220455,0.205659,0.589075
28.7287,0.21731,0.20539,0.592607
28.8288,0.214173,0.205211,0.596037
28.9289,0.211046,0.205119,0.599363
29.029,0.207932,0.205114,0.602582
29.1291,0.204835,0.205194,0.605693
29.2292,0.201757,0.20536,0.608695
29.3293,0.198701,0.205609,0.611586
29.4294,0.195669,0.205942,0.614365
29.5295,0.192664,0.206356,0.61703
29.6296,0.189687,0.206852,0.619581
29.7297,0.186742,0.207429,0.622016
29.8298,0.183829,0.208085,0.624336
29.9299,0.18095,0.20882,0.626538
30.03,0.178108,0.209634,0.628624
30.1301,0.175303,0.210524,0.630591
30.2302,0.172536,0.211492,0.632441
30.3303,0.16981,0.212535,0.634173
30.4304,0.167125,0.213654,0.635786
30.5305,0.164482,0.214847,0.63728
30.6306,0.161882,0.216115,0.638656
30.7307,0.159326,0.217455,0.639914
30.8308,0.156815,0.218868,0.641054
30.9309,0.154348,0.220353,0.642076
31.031,0.151927,0.221908,0.64298
31.1311,0.149552,0.223535,0.643768
31.2312,0.147224,0.225231,0.644439
31.3313,0.144942,0.226996,0.644994
31.4314,0.142707,0.228829,0.645434
31.5315,0.140519,0.230731,0.645759
31.6316,0.138378,0.232699,0.64597
31.7317,0.136284,0.234733,0.646069
31.8318,0.134237,0.236832,0.646055
31.9319,0.132238,0.238997,0.64593
32.032,0.130285,0.241225,0.645695
32.1321,0.128378,0.243516,0.645351
32.2322,0.126519,0.245869,0.644899
32.3323,0.124705,0.248284,0.64434
32.4324,0.122938,0.250759,0.643675
32.5325,0.121216,0.253293,0.642906
32.6326,0.11954,0.255886,0.642033
32.7327,0.117909,0.258536,0.641059
32.8328,0.116322,0.261243,0.639984
32.9329,0.11478,0.264005,0.63881
33.033,0.113282,0.266822,0.637539
33.1331,0.111827,0.269691,0.636171
33.2332,0.110415,0.272613,0.634709
33.3333,0.109046,0.275585,0.633154
33.4334,0.107719,0.278606,0.631508
33.5335,0.106434,0.281676,0.629772
33.6336,0.105191,0.284793,0.627948
33.7337,0.103988,0.287954,0.626038
33.8338,0.102825,0.29116,0.624044
33.9339,0.101703,0.294409,0.621966
34.034,0.10062,0.297698,0.619809
34.1341,0.0995765,0.301027,0.617572
34.2342,0.0985715,0.304393,0.615258
34.3343,0.0976047,0.307796,0.61287
34.4344,0.0966757,0.311233,0.610408
34.5345,0.0957841,0.314702,0.607875
34.6346,0.0949295,0.318203,0.605274
34.7347,0.0941116,0.321733,0.602605
34.8348,0.0933298,0.325289,0.599872
34.9349,0.0925838,0.328872,0.597077
35.035,0.0918733,0.332477,0.59422
35.1351,0.0911979,0.336105,0.591306
35.2352,0.0905572,0.339751,0.588335
35.3353,0.089951,0.343415,0.585311
35.4354,0.0893788,0.347094,0.582235
35.5355,0.0888405,0.350787,0.57911
35.6356,0.0883357,0.354491,0.575937
35.7357,0.0878641,0.358203,0.57272
35.8358,0.0874255,0.361923,0.56946
35.9359,0.0870196,0.365647,0.56616
36.036,0.0866461,0.369374,0.562822
36.1361,0.086305,0.3731,0.559449
36.2362,0.085996,0.376825,0.556042
36.3363,0.0857188,0.380545,0.552604
36.4364,0.0854733,0.384259,0.549138
36.5365,0.0852595,0.387964,0.545645
36.6366,0.085077,0.391657,0.542128
36.7367,0.0849259,0.395337,0.53859
36.8368,0.084806,0.399001,0.535032
36.9369,0.0847172,0.402648,0.531457
37.037,0.0846595,0.406273,0.527868
37.1371,0.0846327,0.409877,0.524266
37.2372,0.0846369,0.413455,0.520653
37.3373,0.084672,0.417005,0.517033
37.4374,0.0847381,0.420527,0.513406
37.5375,0.0848351,0.424016,0.509776
37.6376,0.0849631,0.427472,0.506145
37.7377,0.085122,0.430891,0.502514
37.8378,0.085312,0.434271,0.498886
37.9379,0.0855331,0.437611,0.495263
38.038,0.0857855,0.440907,0.491647
38.1381,0.0860691,0.444159,0.48804
38.2382,0.0863841,0.447363,0.484444
38.3383,0.0867308,0.450518,0.480861
38.4384,0.087109,0.453621,0.477294
